,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
20_1723182487501.png,B,C,B,C,E,D,C,D,B,D,D,A,C,A,A,E,A,D,D,C,D,A,A,B,C,E,B,C,B,B,D,C,A,C,C,D,D,B,C,C,C,C,D,C,B,B,D,C,C,B,B,B
20_1723181493501.png,E,B,D,B,B,D,C,D,C,C,E,A,D,C,C,B,A,E,A,E,D,A,A,B,B,D,B,B,B,C,A,C,A,A,D,A,D,B,C,C,B,C,D,C,B,A,D,D,B,D,C,C
20_17232204936491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,B,C,B,B,A,C,C,E,A,D,C,C,D,D,A,D,B,A,B,D,C,B,A,B,C,C,D,B,A,D,D
20_17232205486491.png,D,C,D,C,B,B,A,D,E,B,D,C,B,D,B,*,D,A,A,B,D,C,D,C,B,B,A,D,E,B,D,C,B,D,B,B,D,A,A,B,D,D,C,C,E,D,C,D,B,C,D,E
20_1723181482501.png,E,C,E,C,C,E,D,D,D,D,#,A,D,E,C,B,A,E,A,B,D,A,A,B,D,E,B,B,B,C,A,C,A,A,D,A,D,B,C,C,B,B,A,A,D,A,C,D,B,C,C,C
20_17232205846491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,B,A,B,B,C,A,C,E,A,D,C,B,C,D,B,D,A,A,B,A,B,C,A,B,C,C,C,A,C,D,B
20_17232205386491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,A,A,A,B,B,D,C,C,E,A,D,C,C,A,D,A,E,B,A,B,D,E,A,B,D,C,C,E,D,A,D,C
20_1723181492501.png,E,B,D,B,B,D,C,D,C,C,D,A,D,C,C,B,A,*,D,D,D,A,A,B,A,D,B,B,B,C,A,C,A,A,D,A,D,B,C,C,B,C,C,C,B,A,D,D,B,D,C,C
20_17232204966491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,D,A,B,A,C,C,D,C,A,D,C,C,D,D,B,D,A,A,B,D,E,B,B,B,D,C,C,C,A,A,C
20_17232205366491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,C,D,C,D,A,B,A,C,A,B,E,D,B,B,B,B,D,A,A,B,B,A,B,D,B,B,D,B,D,D,A,B
20_17232205176491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,E,E,A,B,B,C,C,D,A,B,D,C,B,D,C,B,D,A,A,B,C,D,B,B,B,C,C,B,D,C,A,D
20_17232205316491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,A,A,B,A,C,C,B,B,B,D,C,B,D,D,A,D,B,A,B,A,B,C,B,C,B,C,A,B,C,D,C
20_17232205956491.png,D,D,B,B,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,D,B,B,B,A,C,C,B,B,D,C,D,C,C,B,D,B,A,B,D,E,B,B,C,B,A,D,B,A,D,A
20_17232205636491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,A,D,A,B,B,C,C,C,E,B,D,C,C,D,C,B,D,A,A,B,A,E,D,B,B,C,A,D,E,B,E,B
20_1723181491501.png,E,B,B,B,E,D,C,D,A,C,D,A,D,C,D,B,A,D,A,D,D,A,A,B,B,D,B,B,B,C,A,C,A,A,D,A,D,B,C,C,B,C,D,C,B,A,D,D,B,D,C,C
20_17232205676491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,D,D,A,B,B,B,A,D,C,A,D,C,C,D,D,B,B,A,A,B,A,D,B,B,C,D,A,A,B,B,D,C
20_1723182495501.png,B,A,B,E,E,D,C,A,A,D,C,A,E,C,B,E,A,C,A,E,D,B,A,A,A,E,B,B,A,B,C,C,A,B,A,C,B,B,C,A,B,B,B,C,A,B,D,A,C,D,D,C
20_17232205426491.png,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,A,D,D,A,B,B,#,D,C,A,D,C,D,#,B,B,E,B,A,C,C,E,B,C,B,B,C,C,B,E,A,B
